Process ID | Call Type | File Format | Count | Previous File | Current File
15 | dynamic | - | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Cache\Cache_Data\data_0 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Cache\Cache_Data\data_1
16 | dynamic | - | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Cache\Cache_Data\data_1 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Cache\Cache_Data\data_2
17 | dynamic | - | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Cache\Cache_Data\data_2 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Cache\Cache_Data\data_3
18 | dynamic | - | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Cache\Cache_Data\data_3 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Cache\Cache_Data\index
19 | dynamic | - | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Cache\Cache_Data\index | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Network\Cookies
20 | dynamic | - | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Network\Cookies | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Network\Cookies-journal
21 | dynamic | - | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Network\Cookies-journal | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Network\Device Bound Sessions
22 | dynamic | - | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Network\Device Bound Sessions | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Network\Reporting and NEL
23 | dynamic | - | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Network\Reporting and NEL | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Network\Reporting and NEL-journal
24 | dynamic | - | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Network\Reporting and NEL-journal | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Network\Trust Tokens
25 | dynamic | - | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Network\Trust Tokens | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Safe Browsing Network\Safe Browsing Cookies
26 | dynamic | - | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Safe Browsing Network\Safe Browsing Cookies | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Safe Browsing Network\Safe Browsing Cookies-journal
27 | dynamic | - | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Safe Browsing Network\Safe Browsing Cookies-journal | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Shared Dictionary\db
28 | dynamic | - | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Shared Dictionary\db | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Shared Dictionary\db-journal
29 | dynamic | nls | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Shared Dictionary\db-journal | C:\Windows\Globalization\Sorting\SortDefault.nls
30 | dynamic | dll | 5 | C:\Windows\Globalization\Sorting\SortDefault.nls | C:\Windows\System32\AcLayers.dll
31 | dynamic | dll | 1 | C:\Windows\System32\AcLayers.dll | C:\Windows\System32\DWrite.dll
32 | dynamic | DLL | 1 | C:\Windows\System32\DWrite.dll | C:\Windows\System32\FWPUCLNT.DLL
33 | dynamic | DLL | 1 | C:\Windows\System32\FWPUCLNT.DLL | C:\Windows\System32\IPHLPAPI.DLL
34 | dynamic | dll | 15 | C:\Windows\System32\IPHLPAPI.DLL | C:\Windows\System32\KernelBase.dll
35 | dynamic | dll | 15 | C:\Windows\System32\KernelBase.dll | C:\Windows\System32\SHCore.dll
36 | dynamic | dll | 15 | C:\Windows\System32\SHCore.dll | C:\Windows\System32\advapi32.dll
37 | dynamic | dll | 6 | C:\Windows\System32\advapi32.dll | C:\Windows\System32\apphelp.dll
38 | dynamic | dll | 4 | C:\Windows\System32\apphelp.dll | C:\Windows\System32\bcrypt.dll
39 | dynamic | dll | 18 | C:\Windows\System32\bcrypt.dll | C:\Windows\System32\bcryptprimitives.dll
40 | dynamic | dll | 1 | C:\Windows\System32\bcryptprimitives.dll | C:\Windows\System32\clbcatq.dll
41 | dynamic | dll | 3 | C:\Windows\System32\clbcatq.dll | C:\Windows\System32\combase.dll
42 | dynamic | dll | 16 | C:\Windows\System32\combase.dll | C:\Windows\System32\crypt32.dll
43 | dynamic | dll | 3 | C:\Windows\System32\crypt32.dll | C:\Windows\System32\cryptbase.dll
44 | dynamic | dll | 1 | C:\Windows\System32\cryptbase.dll | C:\Windows\System32\dbghelp.dll
45 | dynamic | dll | 14 | C:\Windows\System32\dbghelp.dll | C:\Windows\System32\dhcpcsvc.dll
46 | dynamic | dll | 2 | C:\Windows\System32\dhcpcsvc.dll | C:\Windows\System32\dhcpcsvc6.dll
47 | dynamic | dll | 1 | C:\Windows\System32\dhcpcsvc6.dll | C:\Windows\System32\dnsapi.dll
48 | dynamic | dll | 2 | C:\Windows\System32\dnsapi.dll | C:\Windows\System32\dpapi.dll
49 | dynamic | dll | 2 | C:\Windows\System32\dpapi.dll | C:\Windows\System32\gdi32.dll
50 | dynamic | dll | 7 | C:\Windows\System32\gdi32.dll | C:\Windows\System32\gdi32full.dll
51 | dynamic | dll | 6 | C:\Windows\System32\gdi32full.dll | C:\Windows\System32\imm32.dll
